County FIPS,County Name,State FIPS,State Name,Primary and Commercial Airports,Non-Commercial -Civil Public Use Airports and Seaplane base,Non-Commercial -Other Aerodromes,Number of Bridges,% of Poor Condition Bridges,Number of business establishments,Percent of resident workers who commute by transit,Number of resident workers who work at home,Number of workers from other counties who commute to work in the county,Number of resident workers who commute to work in other counties,Number of resident workers who commute within county,Number of resident workers,Number of residents,Total Docks,Total Marinas,Route miles of freight railroad,% of Medium to Fair Condition Bridges,Route miles of passenger railroad and rail transit
51640,Galax city,51,Virginia,,,,5,0,306,0.003508772,35,1919,1815,935,2850,6860,,,,1,
51650,Hampton city,51,Virginia,0,0,4,82,0.048780488,2347,0.02534007,1585,33346,32794,30915,64325,136790,5,0,4.2,0.951219512,0
51660,Harrisonburg city,51,Virginia,,,,26,0.115384615,1603,0.027789214,750,9507,9289,14765,24290,51980,,,11.2,0.884615385,0
51670,Hopewell city,51,Virginia,0,0,2,10,0,413,0.011278195,205,6650,6615,2660,9310,22330,,,11.8,1,0
51678,Lexington city,51,Virginia,0,0,1,9,0.111111111,261,0,150,617,617,1485,2105,7035,,,,0.888888889,
51680,Lynchburg city,51,Virginia,0,0,2,89,0.06741573,2248,0.031077549,985,9228,8890,25200,34430,78755,,,37.6,0.93258427,12.9
51683,Manassas city,51,Virginia,0,1,2,12,0,1503,0.034305718,860,15657,14293,5735,21425,41150,,,6.8,1,4.8
51685,Manassas Park city,51,Virginia,,,,1,0,327,0.065122104,275,7350,6290,630,7985,15825,,,1.4,1,1.4
51690,Martinsville city,51,Virginia,0,0,1,10,0,539,0.011352886,155,2986,2752,2300,5285,13550,,,5,1,0
51700,Newport News city,51,Virginia,1,0,4,95,0.031578947,3794,0.0353902,1890,35888,35125,52190,88160,181605,4,0,42.3,0.968421053,15.2
51710,Norfolk city,51,Virginia,1,0,4,190,0.005263158,5377,0.039032815,5300,42903,42225,81365,124485,245725,33,0,25.6,0.994736842,2.2
51720,Norton city,51,Virginia,0,0,2,20,0.1,212,0,30,1274,1174,365,1630,3980,,,7.8,0.9,0
51730,Petersburg city,51,Virginia,0,0,1,69,0.072463768,741,0.02191358,370,8343,8305,4615,12960,31995,,,21.3,0.927536232,10.1
51735,Poquoson city,51,Virginia,,,,,,212,0,285,4833,4778,1390,6205,12070,,,,,
51740,Portsmouth city,51,Virginia,0,0,1,50,0.06,1649,0.02677438,1045,25024,24672,18300,43325,96070,10,0,23.5,0.94,0
51750,Radford city,51,Virginia,,,,2,0,312,0.007189073,45,4048,3973,2910,6955,17185,,,6,1,0
51760,Richmond city,51,Virginia,0,0,5,182,0.115384615,6176,0.053923445,4025,45774,44985,58705,104500,216775,2,0,51,0.884615385,15.5
51770,Roanoke city,51,Virginia,1,0,2,108,0,3132,0.033394575,1190,17875,17545,28395,46265,99330,,,27.2,1,1.5
51775,Salem city,51,Virginia,0,0,2,17,0.117647059,1018,0.005725971,470,6730,6665,5500,12225,25290,,,14.7,0.882352941,0
51790,Staunton city,51,Virginia,,,,7,0,767,0.004454343,410,6033,5959,5190,11225,24235,,,9.1,1,4.6
51800,Suffolk city,51,Virginia,0,1,5,133,0.105263158,1649,0.003029563,1290,25307,24832,15615,40930,87060,,,65.5,0.894736842,14.7
51810,Virginia Beach city,51,Virginia,0,0,7,118,0.025423729,11132,0.008631842,9435,86058,83478,149260,235755,449735,3,0,3.1,0.974576271,0
51820,Waynesboro city,51,Virginia,,,,22,0.090909091,622,0.004601227,225,6328,6270,3450,9780,21365,,,10.5,0.909090909,3.5
51830,Williamsburg city,51,Virginia,0,0,1,9,0,530,0.043365134,445,2767,2703,2990,5765,14990,,,3.6,1,3.6
51840,Winchester city,51,Virginia,0,0,1,7,0,1372,0.007575758,690,6073,5223,6455,12540,27350,,,7.5,1,0
